model,accuracy,f1_score,train_time,pred_time,n_features,n_components
kNN_PCA_k=3,0.8568738229755178,0.8567425752962893,1.1920928955078125e-06,39.16189193725586,2,2
kNN_PCA_k=5,0.8497502661098829,0.849529956532766,3.814697265625e-06,38.87439012527466,2,2
kNN_PCA_k=7,0.8441005485957587,0.8438977325092434,9.5367431640625e-07,40.3911669254303,2,2
kNN_PCA_k=3,0.9955784819454679,0.9955787222598022,0.0,43.849252223968506,5,5
kNN_PCA_k=5,0.9935314828461476,0.9935322404932909,2.86102294921875e-06,40.9850959777832,5,5
kNN_PCA_k=7,0.9918120036027184,0.9918121524001701,0.0,41.326372146606445,5,5
kNN_PCA_k=3,0.9995087202161631,0.9995087469177558,1.9073486328125e-06,41.95893383026123,10,10
kNN_PCA_k=5,0.9995087202161631,0.9995087469177558,9.5367431640625e-07,42.232017993927,10,10
kNN_PCA_k=7,0.9988536805043806,0.9988537428080969,9.5367431640625e-07,41.46565818786621,10,10
kNN_PCA_k=3,1.0,1.0,0.0,48.348031997680664,20,20
kNN_PCA_k=5,1.0,1.0,0.0,49.18425416946411,20,20
kNN_PCA_k=7,0.9999181200360272,0.9999181207805836,4.0531158447265625e-06,48.652230978012085,20,20
kNN_PCA_k=3,1.0,1.0,7.152557373046875e-07,68.43581008911133,50,50
kNN_PCA_k=5,1.0,1.0,2.86102294921875e-06,68.01165628433228,50,50
kNN_PCA_k=7,0.9999181200360272,0.9999181207805836,9.5367431640625e-07,67.11994910240173,50,50
